CustomerID,PurchaseDays,TotalQuantity,TotalSpend,pattern_breaker,customer_type
12346.0,2,0,0.0,0,Normal Customer
12347.0,7,2458,4310.0,0,Normal Customer
12348.0,4,2341,1797.24,0,Normal Customer
12349.0,1,631,1757.55,0,Normal Customer
12350.0,1,197,334.4,0,Normal Customer
12352.0,11,470,1545.41,0,Normal Customer
12353.0,1,20,89.0,0,Normal Customer
12354.0,1,530,1079.4,0,Normal Customer
12355.0,1,240,459.4,0,Normal Customer
12356.0,3,1591,2811.43,0,Normal Customer
12357.0,1,2708,6207.67,0,Normal Customer
12358.0,2,248,1168.06,0,Normal Customer
12359.0,6,1612,6245.53,0,Normal Customer
12360.0,3,1165,2662.06,0,Normal Customer
12361.0,1,91,189.9,0,Normal Customer
12362.0,13,2212,5154.58,0,Normal Customer
12363.0,2,408,552.0,0,Normal Customer
12364.0,4,1506,1313.1,0,Normal Customer
12365.0,3,173,320.69,0,Normal Customer
12367.0,1,173,168.9,0,Normal Customer
12370.0,4,2353,3545.69,0,Normal Customer
12371.0,2,591,1887.96,0,Normal Customer
12372.0,3,794,1298.04,0,Normal Customer
12373.0,1,197,364.6,0,Normal Customer
12374.0,1,342,742.9300000000001,0,Normal Customer
12375.0,3,177,455.42,0,Normal Customer
12377.0,2,944,1628.12,0,Normal Customer
12378.0,1,2529,4008.62,0,Normal Customer
12379.0,3,406,850.29,0,Normal Customer
12380.0,5,1126,2720.56,0,Normal Customer
12381.0,6,783,1803.96,0,Normal Customer
12383.0,6,1529,1839.31,0,Normal Customer
12384.0,3,121,566.16,0,Normal Customer
12386.0,2,354,401.9,0,Normal Customer
12388.0,6,1462,2780.66,0,Normal Customer
12390.0,1,353,549.84,0,Normal Customer
12391.0,1,300,460.89,0,Normal Customer
12393.0,4,816,1582.6000000000001,0,Normal Customer
12394.0,2,819,1272.48,0,Normal Customer
12395.0,15,2113,2998.28,0,Normal Customer
12397.0,2,1263,2409.9,0,Normal Customer
12398.0,1,1394,1635.6599999999999,0,Normal Customer
12399.0,4,1178,1108.65,0,Normal Customer
12401.0,1,11,84.3,0,Normal Customer
12402.0,1,94,225.6,0,Normal Customer
12403.0,2,95,409.7,0,Normal Customer
12405.0,1,857,1710.39,0,Normal Customer
12406.0,3,1809,3280.75,0,Normal Customer
12407.0,5,1416,1708.1200000000001,0,Normal Customer
12408.0,9,1399,2842.57,0,Normal Customer
12409.0,7,5543,11056.93,0,Normal Customer
12410.0,3,209,681.0799999999999,0,Normal Customer
12412.0,3,829,1226.88,0,Normal Customer
12413.0,5,282,694.15,0,Normal Customer
12414.0,3,300,562.41,0,Normal Customer
12415.0,25,77242,123725.45,1,Pattern Breaker
12417.0,12,1539,3578.8,0,Normal Customer
12418.0,1,407,668.58,0,Normal Customer
12420.0,1,345,600.39,0,Normal Customer
12421.0,5,483,806.27,0,Normal Customer
12422.0,3,370,803.5600000000001,0,Normal Customer
12423.0,9,1327,1849.11,0,Normal Customer
12424.0,1,740,1760.96,0,Normal Customer
12425.0,1,496,777.2,0,Normal Customer
12426.0,1,258,582.73,0,Normal Customer
12427.0,5,236,708.37,0,Normal Customer
12428.0,12,3503,7877.2,0,Normal Customer
12429.0,4,1557,3750.4,0,Normal Customer
12430.0,1,117,256.4,0,Normal Customer
12431.0,18,2868,6416.39,0,Normal Customer
12432.0,5,1801,5059.32,0,Normal Customer
12433.0,7,11071,13375.87,1,Pattern Breaker
12434.0,4,373,765.19,0,Normal Customer
12435.0,2,2055,7829.89,0,Normal Customer
12436.0,1,211,509.01,0,Normal Customer
12437.0,19,2918,4896.66,0,Normal Customer
12438.0,2,1180,2906.85,0,Normal Customer
12441.0,1,121,173.55,0,Normal Customer
12442.0,1,182,172.06,0,Normal Customer
12444.0,5,1155,5005.46,0,Normal Customer
12445.0,1,62,133.4,0,Normal Customer
12446.0,1,352,1002.3100000000001,0,Normal Customer
12447.0,1,190,476.49,0,Normal Customer
12448.0,1,243,449.45,0,Normal Customer
12449.0,4,1553,4067.29,0,Normal Customer
12450.0,2,128,197.88,0,Normal Customer
12451.0,6,6455,8933.52,0,Normal Customer
12452.0,3,183,428.57,0,Normal Customer
12453.0,1,473,707.09,0,Normal Customer
12454.0,2,0,5.684341886080802e-14,0,Normal Customer
12455.0,6,2089,2466.86,0,Normal Customer
12456.0,4,1616,3153.89,0,Normal Customer
12457.0,11,695,1917.78,0,Normal Customer
12458.0,2,506,947.4,0,Normal Customer
12461.0,2,287,826.88,0,Normal Customer
12462.0,4,514,1124.01,0,Normal Customer
12463.0,7,757,1303.63,0,Normal Customer
12464.0,8,112,1212.05,0,Normal Customer
12465.0,3,475,733.89,0,Normal Customer
12468.0,3,364,724.0400000000001,0,Normal Customer
12471.0,49,7965,18740.92,1,Pattern Breaker
12472.0,13,4020,6229.48,0,Normal Customer
12473.0,9,2363,2848.23,0,Normal Customer
12474.0,30,4764,7116.47,0,Normal Customer
12475.0,1,535,723.38,0,Normal Customer
12476.0,20,2337,6546.58,0,Normal Customer
12477.0,9,3620,13117.01,0,Normal Customer
12478.0,1,236,680.99,0,Normal Customer
12479.0,3,351,477.3,0,Normal Customer
12480.0,4,1707,3281.63,0,Normal Customer
12481.0,11,3290,5590.86,0,Normal Customer
12483.0,13,1097,2327.13,0,Normal Customer
12484.0,8,2185,4495.27,0,Normal Customer
12488.0,3,529,1298.66,0,Normal Customer
12489.0,1,105,334.93,0,Normal Customer
12490.0,10,3064,5417.93,0,Normal Customer
12491.0,1,260,460.40000000000003,0,Normal Customer
12492.0,2,192,263.21000000000004,0,Normal Customer
12493.0,3,206,416.79,0,Normal Customer
12494.0,12,690,1139.3500000000001,0,Normal Customer
12497.0,1,1236,1043.1,0,Normal Customer
12498.0,3,159,403.70000000000005,0,Normal Customer
12500.0,13,2671,4206.27,0,Normal Customer
12501.0,2,1722,2089.68,0,Normal Customer
12502.0,5,820,3723.87,0,Normal Customer
12503.0,1,-1,-1126.0,0,Normal Customer
12504.0,4,51,114.0,0,Normal Customer
12505.0,1,-1,-4.5,0,Normal Customer
12506.0,1,23,73.5,0,Normal Customer
12507.0,4,894,1258.06,0,Normal Customer
12508.0,2,272,398.27,0,Normal Customer
12509.0,1,55,176.5,0,Normal Customer
12510.0,2,353,982.5699999999999,0,Normal Customer
12512.0,2,99,138.03,0,Normal Customer
12513.0,2,456,586.79,0,Normal Customer
12514.0,1,440,1017.68,0,Normal Customer
12515.0,1,131,383.7,0,Normal Customer
12516.0,2,875,1312.06,0,Normal Customer
12517.0,6,1348,2464.89,0,Normal Customer
12518.0,5,1318,2056.89,0,Normal Customer
12519.0,1,183,340.84,0,Normal Customer
12520.0,6,1430,2582.51,0,Normal Customer
12521.0,1,309,599.68,0,Normal Customer
12522.0,2,194,192.72,0,Normal Customer
12523.0,13,861,1745.57,0,Normal Customer
12524.0,8,3699,4485.72,0,Normal Customer
12526.0,3,632,1316.66,0,Normal Customer
12527.0,3,234,348.71000000000004,0,Normal Customer
12528.0,8,750,1922.28,0,Normal Customer
12530.0,5,900,1623.63,0,Normal Customer
12531.0,1,45,125.22,0,Normal Customer
12532.0,1,153,349.83000000000004,0,Normal Customer
12534.0,1,651,1089.18,0,Normal Customer
12535.0,2,219,716.35,0,Normal Customer
12536.0,5,2652,4106.82,0,Normal Customer
12538.0,1,191,363.95,0,Normal Customer
12539.0,5,2066,3852.5,0,Normal Customer
12540.0,19,6677,13309.039999999999,0,Normal Customer
12541.0,3,680,981.18,0,Normal Customer
12544.0,2,132,355.7,0,Normal Customer
12545.0,2,523,1000.39,0,Normal Customer
12546.0,3,617,1141.5,0,Normal Customer
12547.0,2,134,207.79999999999998,0,Normal Customer
12548.0,1,49,95.19999999999999,0,Normal Customer
12550.0,1,569,964.83,0,Normal Customer
12551.0,1,100,168.0,0,Normal Customer
12552.0,2,88,437.82,0,Normal Customer
12553.0,14,1924,3652.25,0,Normal Customer
12556.0,2,358,603.71,0,Normal Customer
12557.0,5,4384,11990.960000000001,0,Normal Customer
12558.0,2,0,1.0658141036401503e-14,0,Normal Customer
12559.0,3,281,536.21,0,Normal Customer
12560.0,4,1078,2101.39,0,Normal Customer
12561.0,1,177,238.85,0,Normal Customer
12562.0,7,1779,3781.7400000000002,0,Normal Customer
12564.0,1,133,456.9,0,Normal Customer
12565.0,2,75,131.17,0,Normal Customer
12566.0,2,264,346.7,0,Normal Customer
12567.0,11,4089,9114.94,0,Normal Customer
12569.0,33,1793,4064.9900000000002,0,Normal Customer
12571.0,2,523,519.61,0,Normal Customer
12572.0,3,450,1004.72,0,Normal Customer
12573.0,1,84,160.54000000000002,0,Normal Customer
12574.0,1,61,218.45,0,Normal Customer
12576.0,6,964,1306.98,0,Normal Customer
12577.0,4,466,595.4,0,Normal Customer
12578.0,4,1171,2753.36,0,Normal Customer
12579.0,3,278,410.72,0,Normal Customer
12580.0,1,238,415.7,0,Normal Customer
12581.0,1,161,197.71,0,Normal Customer
12582.0,2,300,511.36,0,Normal Customer
12583.0,18,5009,7187.34,0,Normal Customer
12584.0,18,354,1893.95,0,Normal Customer
12585.0,4,1258,1982.81,0,Normal Customer
12586.0,2,77,179.94000000000003,0,Normal Customer
12587.0,1,51,144.0,0,Normal Customer
12588.0,1,53,214.89999999999998,0,Normal Customer
12589.0,2,306,646.68,0,Normal Customer
12590.0,3,4279,9861.38,0,Normal Customer
12591.0,1,228,452.84999999999997,0,Normal Customer
12592.0,2,290,437.6,0,Normal Customer
12593.0,3,206,418.09999999999997,0,Normal Customer
12594.0,11,1776,3320.2200000000003,0,Normal Customer
12596.0,2,474,618.27,0,Normal Customer
12597.0,5,2187,3683.13,0,Normal Customer
12598.0,9,1940,3002.68,0,Normal Customer
12599.0,7,956,1032.58,0,Normal Customer
12600.0,11,773,2581.04,0,Normal Customer
12601.0,6,244,569.5600000000001,0,Normal Customer
12602.0,1,162,153.12,0,Normal Customer
12603.0,1,64,739.1999999999999,0,Normal Customer
12604.0,2,201,254.18,0,Normal Customer
12605.0,1,-4,-7.5,0,Normal Customer
12607.0,2,0,3.552713678800501e-15,0,Normal Customer
12609.0,3,648,1126.85,0,Normal Customer
12610.0,7,1028,2057.99,0,Normal Customer
12611.0,1,846,1193.32,0,Normal Customer
12612.0,2,251,643.59,0,Normal Customer
12613.0,6,1596,3218.98,0,Normal Customer
12614.0,1,76,315.6,0,Normal Customer
12615.0,4,1376,2291.19,0,Normal Customer
12616.0,5,273,657.25,0,Normal Customer
12617.0,1,213,355.53,0,Normal Customer
12618.0,1,96,177.31,0,Normal Customer
12619.0,13,3354,3214.81,0,Normal Customer
12620.0,3,1181,1339.41,0,Normal Customer
12621.0,23,7404,13612.07,0,Normal Customer
12622.0,1,69,180.1,0,Normal Customer
12623.0,1,191,305.1,0,Normal Customer
12624.0,2,355,641.13,0,Normal Customer
12625.0,3,1577,2614.32,0,Normal Customer
12626.0,13,3350,6388.35,0,Normal Customer
12627.0,7,2752,4478.53,0,Normal Customer
12628.0,4,445,769.61,0,Normal Customer
12630.0,2,548,1270.88,0,Normal Customer
12631.0,1,236,640.5,0,Normal Customer
12633.0,5,1149,2140.63,0,Normal Customer
12635.0,2,1172,1689.18,0,Normal Customer
12637.0,11,2990,5953.25,0,Normal Customer
12638.0,1,577,671.69,0,Normal Customer
12639.0,1,201,486.1,0,Normal Customer
12640.0,3,311,1174.58,0,Normal Customer
12641.0,1,72,185.9,0,Normal Customer
12642.0,3,552,1013.26,0,Normal Customer
12643.0,6,1808,3344.64,0,Normal Customer
12644.0,1,325,477.91,0,Normal Customer
12645.0,5,1072,1755.38,0,Normal Customer
12646.0,2,897,1346.97,0,Normal Customer
12647.0,13,1420,3669.92,0,Normal Customer
12648.0,1,160,318.05,0,Normal Customer
12649.0,4,574,603.71,0,Normal Customer
12650.0,1,254,314.44,0,Normal Customer
12651.0,1,78,114.0,0,Normal Customer
12652.0,2,502,914.53,0,Normal Customer
12653.0,2,919,2209.85,0,Normal Customer
12654.0,5,264,601.98,0,Normal Customer
12656.0,8,1708,3982.72,0,Normal Customer
12657.0,5,654,1152.06,0,Normal Customer
12658.0,1,320,686.05,0,Normal Customer
12659.0,1,105,91.68,0,Normal Customer
12660.0,1,127,245.1,0,Normal Customer
12662.0,12,2040,3817.08,0,Normal Customer
12664.0,10,1202,4863.88,0,Normal Customer
12665.0,2,36,61.75,0,Normal Customer
12666.0,1,-56,-227.44,0,Normal Customer
12667.0,1,395,620.13,0,Normal Customer
12668.0,6,1595,3743.18,0,Normal Customer
12669.0,4,1114,1607.73,0,Normal Customer
12670.0,6,1391,2986.15,0,Normal Customer
12672.0,1,78,225.89999999999998,0,Normal Customer
12673.0,2,351,610.52,0,Normal Customer
12674.0,7,1102,1919.31,0,Normal Customer
12676.0,6,670,1331.39,0,Normal Customer
12678.0,13,10899,17588.26,1,Pattern Breaker
12679.0,9,530,1058.67,0,Normal Customer
12680.0,4,443,862.81,0,Normal Customer
12681.0,27,7518,13677.59,0,Normal Customer
12682.0,31,5575,12288.22,0,Normal Customer
12683.0,20,4903,8221.09,0,Normal Customer
12684.0,7,1985,2283.63,0,Normal Customer
12685.0,6,1523,2863.08,0,Normal Customer
12686.0,1,107,89.14,0,Normal Customer
12688.0,1,3028,4873.8099999999995,0,Normal Customer
12689.0,2,628,1247.61,0,Normal Customer
12690.0,1,106,389.01,0,Normal Customer
12691.0,6,394,1035.8,0,Normal Customer
12693.0,6,250,830.96,0,Normal Customer
12694.0,2,509,869.67,0,Normal Customer
12695.0,4,220,582.1,0,Normal Customer
12697.0,5,499,939.02,0,Normal Customer
12700.0,6,2963,4867.99,0,Normal Customer
12701.0,2,678,797.71,0,Normal Customer
12702.0,1,53,219.0,0,Normal Customer
12703.0,2,161,274.7,0,Normal Customer
12704.0,10,1003,2220.84,0,Normal Customer
12705.0,14,3973,6814.24,0,Normal Customer
12707.0,1,256,603.42,0,Normal Customer
12708.0,16,1270,2616.32,0,Normal Customer
12709.0,26,3832,9294.1,0,Normal Customer
12710.0,4,849,1130.57,0,Normal Customer
12712.0,17,1044,4241.63,0,Normal Customer
12713.0,1,508,848.55,0,Normal Customer
12714.0,5,3069,4708.86,0,Normal Customer
12715.0,1,197,353.86,0,Normal Customer
12716.0,2,708,1053.49,0,Normal Customer
12717.0,3,505,980.98,0,Normal Customer
12718.0,1,203,238.25,0,Normal Customer
12719.0,3,361,608.1,0,Normal Customer
12720.0,29,4654,5713.28,0,Normal Customer
12721.0,7,1954,2628.98,0,Normal Customer
12722.0,6,560,904.33,0,Normal Customer
12723.0,5,434,725.07,0,Normal Customer
12724.0,4,445,1031.41,0,Normal Customer
12725.0,1,164,427.8,0,Normal Customer
12726.0,7,3143,2609.1,0,Normal Customer
12727.0,9,2085,3947.7,0,Normal Customer
12728.0,4,419,836.33,0,Normal Customer
12729.0,1,233,453.01,0,Normal Customer
12731.0,14,8366,18793.41,1,Pattern Breaker
12732.0,1,111,236.26000000000002,0,Normal Customer
12733.0,1,137,383.95,0,Normal Customer
12734.0,1,88,110.39999999999999,0,Normal Customer
12735.0,2,368,779.5699999999999,0,Normal Customer
12736.0,1,173,234.0,0,Normal Customer
12738.0,1,148,155.35,0,Normal Customer
12739.0,2,486,1013.04,0,Normal Customer
12740.0,1,342,427.6,0,Normal Customer
12743.0,2,319,546.43,0,Normal Customer
12744.0,10,5234,9120.39,0,Normal Customer
12747.0,11,1275,4196.01,0,Normal Customer
12748.0,225,24210,29072.1,1,Pattern Breaker
12749.0,8,1422,3868.2,0,Normal Customer
12750.0,1,137,275.88,0,Normal Customer
12752.0,1,2262,4366.78,0,Normal Customer
12753.0,11,11250,21024.01,1,Pattern Breaker
12754.0,6,6479,2949.12,0,Normal Customer
12755.0,4,866,2203.2,0,Normal Customer
12756.0,1,144,112.07999999999998,0,Normal Customer
12757.0,19,2385,4227.7,0,Normal Customer
12758.0,2,2135,2791.59,0,Normal Customer
12759.0,3,902,1531.44,0,Normal Customer
12762.0,2,1227,1898.52,0,Normal Customer
12763.0,2,316,494.08,0,Normal Customer
12764.0,1,386,1693.88,0,Normal Customer
12766.0,7,3646,6989.63,0,Normal Customer
12769.0,1,356,1143.6,0,Normal Customer
12770.0,1,743,1351.45,0,Normal Customer
12772.0,1,556,892.47,0,Normal Customer
12775.0,6,853,1351.24,0,Normal Customer
12778.0,7,824,804.23,0,Normal Customer
12779.0,12,1996,3868.7,0,Normal Customer
12781.0,5,592,707.72,0,Normal Customer
12782.0,6,1070,2273.32,0,Normal Customer
12783.0,8,622,1603.87,0,Normal Customer
12784.0,2,300,574.42,0,Normal Customer
12785.0,2,128,305.71,0,Normal Customer
12787.0,3,261,463.66,0,Normal Customer
12789.0,1,4,91.85,0,Normal Customer
12790.0,1,166,324.92,0,Normal Customer
12791.0,1,97,192.60000000000002,0,Normal Customer
12792.0,1,217,400.53999999999996,0,Normal Customer
12793.0,2,295,545.48,0,Normal Customer
12794.0,2,592,860.41,0,Normal Customer
12795.0,1,68,430.48,0,Normal Customer
12797.0,3,79,194.18,0,Normal Customer
12798.0,3,5256,6977.04,0,Normal Customer
12802.0,2,302,412.58,0,Normal Customer
12808.0,3,188,483.65000000000003,0,Normal Customer
12809.0,2,219,484.36,0,Normal Customer
12811.0,3,230,514.85,0,Normal Customer
12812.0,1,164,229.64000000000001,0,Normal Customer
12814.0,1,49,125.92,0,Normal Customer
12815.0,2,379,1063.46,0,Normal Customer
12816.0,2,128,572.2,0,Normal Customer
12817.0,1,53,166.04,0,Normal Customer
12818.0,2,923,1517.88,0,Normal Customer
12820.0,4,722,942.34,0,Normal Customer
12821.0,1,70,92.72,0,Normal Customer
12822.0,3,548,918.98,0,Normal Customer
12823.0,5,230,1759.5,0,Normal Customer
12824.0,1,232,397.12,0,Normal Customer
12826.0,8,1054,1468.1200000000001,0,Normal Customer
12827.0,3,197,430.15000000000003,0,Normal Customer
12828.0,6,494,1018.71,0,Normal Customer
12829.0,3,375,253.05,0,Normal Customer
12830.0,7,9847,6748.4,0,Normal Customer
12831.0,1,135,215.05,0,Normal Customer
12832.0,2,195,383.03,0,Normal Customer
12833.0,1,156,417.38,0,Normal Customer
12834.0,1,110,312.38,0,Normal Customer
12836.0,5,1064,2612.86,0,Normal Customer
12837.0,1,24,134.1,0,Normal Customer
12838.0,2,359,683.13,0,Normal Customer
12839.0,16,3804,5583.62,0,Normal Customer
12840.0,6,1505,2714.27,0,Normal Customer
12841.0,25,2683,3876.4,0,Normal Customer
12842.0,2,547,1118.99,0,Normal Customer
12843.0,9,753,1680.76,0,Normal Customer
12844.0,2,125,325.96000000000004,0,Normal Customer
12845.0,4,204,354.09,0,Normal Customer
12847.0,1,909,871.54,0,Normal Customer
12849.0,2,623,1050.8899999999999,0,Normal Customer
12851.0,1,109,135.18,0,Normal Customer
12852.0,2,145,299.75,0,Normal Customer
12853.0,9,782,1881.7,0,Normal Customer
12854.0,5,622,1289.15,0,Normal Customer
12855.0,1,30,38.1,0,Normal Customer
12856.0,8,1076,2162.68,0,Normal Customer
12857.0,2,343,1106.4,0,Normal Customer
12863.0,2,186,504.2,0,Normal Customer
12864.0,1,216,147.12,0,Normal Customer
12865.0,3,877,1548.07,0,Normal Customer
12866.0,1,171,559.12,0,Normal Customer
12867.0,10,4274,3986.22,0,Normal Customer
12868.0,6,928,1607.0600000000002,0,Normal Customer
12870.0,1,-2,-14.899999999999999,0,Normal Customer
12871.0,2,200,380.64,0,Normal Customer
12872.0,2,319,599.97,0,Normal Customer
12873.0,1,128,374.0,0,Normal Customer
12875.0,2,2019,343.2300000000001,0,Normal Customer
12876.0,2,1941,2218.02,0,Normal Customer
12877.0,12,1178,1535.77,0,Normal Customer
12878.0,3,536,841.64,0,Normal Customer
12879.0,4,363,552.5699999999999,0,Normal Customer
12881.0,1,21,298.0,0,Normal Customer
12882.0,2,246,1463.04,0,Normal Customer
12883.0,4,196,703.47,0,Normal Customer
12884.0,1,43,309.05,0,Normal Customer
12885.0,4,654,1158.27,0,Normal Customer
12886.0,3,761,1351.09,0,Normal Customer
12888.0,4,68,313.77,0,Normal Customer
12890.0,1,259,380.46999999999997,0,Normal Customer
12891.0,3,950,331.0,0,Normal Customer
12893.0,1,96,188.14,0,Normal Customer
12895.0,3,204,347.3,0,Normal Customer
12897.0,2,110,216.5,0,Normal Customer
12901.0,36,20915,16293.1,1,Pattern Breaker
12902.0,1,66,138.68,0,Normal Customer
12904.0,2,302,509.58,0,Normal Customer
